customer_id,cif,full_name,address,national_id,phone,email
1,CIF-000001,Tran Van Phong,"251 Cach Mang Thang 8, Q5, TP.HCM",700000000001,0883197857,tran.van.phong76@gmail.com
2,CIF-000002,Phan Van Anh,"96 Cach Mang Thang 8, Q7, Hai Phong",700000000002,0713561597,phan.van.anh26@outlook.com
3,CIF-000003,Dang Anh Linh,"460 Nam Ky Khoi Nghia, Q10, TP.HCM",700000000003,0931429110,dang.anh.linh55@outlook.com
4,CIF-000004,Huynh Duc Giang,"221 Ly Thuong Kiet, Q3, TP.HCM",700000000004,0622981052,huynh.duc.giang45@yahoo.com
5,CIF-000005,Bui Duc Binh,"748 Pham Ngu Lao, Tan Binh, TP.HCM",700000000005,0620576383,bui.duc.binh38@outlook.com
6,CIF-000006,Bui Quang Son,"197 Le Loi, Q1, Ha Noi",700000000006,0948840994,bui.quang.son30@gmail.com
7,CIF-000007,Tran Anh Phong,"465 Ly Thuong Kiet, Q5, Da Nang",700000000007,0538119557,tran.anh.phong35@outlook.com
8,CIF-000008,Tran Thu Hieu,"547 Cach Mang Thang 8, Q5, Can Tho",700000000008,0646231783,tran.thu.hieu89@outlook.com
9,CIF-000009,Dang Thanh Trang,"864 Nguyen Trai, Q7, TP.HCM",700000000009,0952339391,dang.thanh.trang35@yahoo.com
10,CIF-000010,Tran Thanh Son,"898 Ly Thuong Kiet, Q7, Can Tho",700000000010,0696282117,tran.thanh.son19@yahoo.com
11,CIF-000011,Hoang Ngoc Linh,"763 Dien Bien Phu, Tan Binh, Da Nang",700000000011,0888461803,hoang.ngoc.linh75@yahoo.com
12,CIF-000012,Phan Quang Linh,"142 Dien Bien Phu, Go Vap, TP.HCM",700000000012,0916323852,phan.quang.linh20@gmail.com
13,CIF-000013,Le Anh My,"66 Tran Hung Dao, Binh Thanh, Hai Phong",700000000013,0681016525,le.anh.my71@yahoo.com
14,CIF-000014,Nguyen Thi Vy,"769 Vo Van Tan, Q11, TP.HCM",700000000014,0568353204,nguyen.thi.vy59@gmail.com
15,CIF-000015,Nguyen Duc Thao,"781 Hai Ba Trung, Tan Binh, TP.HCM",700000000015,0993926371,nguyen.duc.thao82@yahoo.com
16,CIF-000016,Dang Thu Khanh,"157 Ly Thuong Kiet, Q5, Hai Phong",700000000016,0981182864,dang.thu.khanh77@gmail.com
17,CIF-000017,Huynh Minh Anh,"115 Ly Thuong Kiet, Q10, Ha Noi",700000000017,0342329237,huynh.minh.anh11@outlook.com
18,CIF-000018,Tran Minh Chau,"779 Dien Bien Phu, Q5, Ha Noi",700000000018,0873791320,tran.minh.chau22@outlook.com
19,CIF-000019,Hoang Hai My,"434 Cach Mang Thang 8, Tan Binh, Ha Noi",700000000019,0851837852,hoang.hai.my86@yahoo.com
20,CIF-000020,Huynh Minh Thao,"463 Le Loi, Q7, Ha Noi",700000000020,0355377076,huynh.minh.thao76@gmail.com
21,CIF-000021,Dang Thanh Son,"226 Nguyen Trai, Q3, TP.HCM",700000000021,0419046318,dang.thanh.son43@gmail.com
22,CIF-000022,Tran Hai Linh,"286 Pham Ngu Lao, Q7, Hai Phong",700000000022,0486644106,tran.hai.linh61@outlook.com
23,CIF-000023,Pham Minh Yen,"195 Le Loi, Q3, Can Tho",700000000023,0566851760,pham.minh.yen60@yahoo.com
24,CIF-000024,Nguyen Thi Binh,"413 Ly Thuong Kiet, Q3, Ha Noi",700000000024,0435529407,nguyen.thi.binh58@outlook.com
25,CIF-000025,Le Anh Hieu,"286 Pham Ngu Lao, Q7, TP.HCM",700000000025,0683863413,le.anh.hieu7@gmail.com
26,CIF-000026,Dang Van Chau,"949 Cach Mang Thang 8, Q5, Can Tho",700000000026,0674606833,dang.van.chau52@gmail.com
27,CIF-000027,Nguyen Ngoc Khoa,"3 Tran Hung Dao, Q10, Can Tho",700000000027,0566775103,nguyen.ngoc.khoa94@outlook.com
28,CIF-000028,Dang Minh Giang,"195 Vo Van Tan, Q7, TP.HCM",700000000028,0782772208,dang.minh.giang96@gmail.com
29,CIF-000029,Huynh Van Binh,"599 Pham Ngu Lao, Tan Binh, Hai Phong",700000000029,0417634247,huynh.van.binh11@outlook.com
30,CIF-000030,Le Thi My,"70 Cach Mang Thang 8, Binh Thanh, TP.HCM",700000000030,0743046464,le.thi.my77@outlook.com
31,CIF-000031,Nguyen Thu Chau,"430 Nam Ky Khoi Nghia, Thu Duc, Hai Phong",700000000031,0544999379,nguyen.thu.chau86@gmail.com
32,CIF-000032,Huynh Thanh Phong,"406 Hai Ba Trung, Q10, Can Tho",700000000032,0519736572,huynh.thanh.phong59@gmail.com
33,CIF-000033,Bui Thu Dung,"76 Dien Bien Phu, Q7, Hai Phong",700000000033,0527778019,bui.thu.dung9@yahoo.com
34,CIF-000034,Pham Quang Tuan,"162 Pham Ngu Lao, Tan Binh, Da Nang",700000000034,0797775215,pham.quang.tuan2@outlook.com
35,CIF-000035,Dang Duc Dung,"962 Hai Ba Trung, Q10, TP.HCM",700000000035,0384252420,dang.duc.dung35@gmail.com
36,CIF-000036,Hoang Thu Khanh,"735 Ly Thuong Kiet, Q7, Da Nang",700000000036,0775569635,hoang.thu.khanh7@yahoo.com
37,CIF-000037,Tran Anh Phong,"46 Nguyen Trai, Q11, Ha Noi",700000000037,0845159040,tran.anh.phong95@gmail.com
38,CIF-000038,Vo Hai Yen,"575 Nguyen Trai, Q3, TP.HCM",700000000038,0830005727,vo.hai.yen5@outlook.com
39,CIF-000039,Huynh Thu Vy,"152 Tran Hung Dao, Q5, TP.HCM",700000000039,0558942697,huynh.thu.vy46@gmail.com
40,CIF-000040,Pham Thanh Dung,"363 Dien Bien Phu, Binh Thanh, Hai Phong",700000000040,0830743797,pham.thanh.dung21@gmail.com
41,CIF-000041,Le Anh Anh,"184 Ly Thuong Kiet, Binh Thanh, Ha Noi",700000000041,0531367172,le.anh.anh14@outlook.com
42,CIF-000042,Phan Van Long,"228 Cach Mang Thang 8, Go Vap, Da Nang",700000000042,0540547349,phan.van.long4@gmail.com
43,CIF-000043,Pham Anh Trang,"286 Le Loi, Q10, Da Nang",700000000043,0878371272,pham.anh.trang87@yahoo.com
44,CIF-000044,Dang Quang Anh,"119 Vo Van Tan, Q5, Hai Phong",700000000044,0515134794,dang.quang.anh77@gmail.com
45,CIF-000045,Phan Quang Trang,"447 Nam Ky Khoi Nghia, Tan Binh, TP.HCM",700000000045,0687388337,phan.quang.trang33@gmail.com
46,CIF-000046,Nguyen Anh Anh,"533 Dien Bien Phu, Q7, Da Nang",700000000046,0619391725,nguyen.anh.anh43@outlook.com
47,CIF-000047,Bui Quang Dung,"738 Vo Van Tan, Tan Binh, Da Nang",700000000047,0864813568,bui.quang.dung52@yahoo.com
48,CIF-000048,Hoang Hai Giang,"197 Tran Hung Dao, Binh Thanh, Ha Noi",700000000048,0786384014,hoang.hai.giang52@yahoo.com
49,CIF-000049,Dang Van Tuan,"294 Cach Mang Thang 8, Binh Thanh, Hai Phong",700000000049,0797873101,dang.van.tuan60@yahoo.com
50,CIF-000050,Vo Minh Khanh,"524 Pham Ngu Lao, Q5, TP.HCM",700000000050,0579182797,vo.minh.khanh82@outlook.com
51,CIF-000051,Bui Quang Chau,"839 Cach Mang Thang 8, Q10, Ha Noi",700000000051,0936726767,bui.quang.chau4@gmail.com
52,CIF-000052,Nguyen Thanh Long,"626 Le Loi, Go Vap, Can Tho",700000000052,0887265240,nguyen.thanh.long92@gmail.com
53,CIF-000053,Phan Minh Khoa,"250 Hai Ba Trung, Q1, TP.HCM",700000000053,0967062156,phan.minh.khoa23@gmail.com
54,CIF-000054,Dang Minh Binh,"571 Cach Mang Thang 8, Q3, Can Tho",700000000054,0472363359,dang.minh.binh68@outlook.com
55,CIF-000055,Dang Thu Trang,"973 Pham Ngu Lao, Thu Duc, Hai Phong",700000000055,0683534128,dang.thu.trang21@yahoo.com
56,CIF-000056,Vo Minh Phong,"770 Cach Mang Thang 8, Q10, Hai Phong",700000000056,0694120751,vo.minh.phong36@gmail.com
57,CIF-000057,Vo Thi Tuan,"241 Vo Van Tan, Q11, Da Nang",700000000057,0720814950,vo.thi.tuan20@gmail.com
58,CIF-000058,Pham Anh Giang,"724 Cach Mang Thang 8, Q3, Can Tho",700000000058,0654410148,pham.anh.giang60@outlook.com
59,CIF-000059,Phan Van Khanh,"853 Tran Hung Dao, Binh Thanh, Hai Phong",700000000059,0812621534,phan.van.khanh49@outlook.com
60,CIF-000060,Vo Van Hoa,"306 Tran Hung Dao, Binh Thanh, Hai Phong",700000000060,0883300637,vo.van.hoa29@outlook.com
61,CIF-000061,Vo Thanh Phong,"447 Pham Ngu Lao, Q1, Can Tho",700000000061,0599774697,vo.thanh.phong52@outlook.com
62,CIF-000062,Le Minh Giang,"638 Dien Bien Phu, Q1, Can Tho",700000000062,0785751409,le.minh.giang4@outlook.com
63,CIF-000063,Tran Anh Giang,"888 Pham Ngu Lao, Q5, TP.HCM",700000000063,0560882459,tran.anh.giang28@yahoo.com
64,CIF-000064,Vo Quang Trang,"780 Tran Hung Dao, Q10, Can Tho",700000000064,0520993268,vo.quang.trang3@yahoo.com
65,CIF-000065,Dang Van Hoa,"230 Le Loi, Q1, TP.HCM",700000000065,0436757737,dang.van.hoa80@gmail.com
66,CIF-000066,Le Thanh Giang,"485 Le Loi, Thu Duc, Ha Noi",700000000066,0644392446,le.thanh.giang22@yahoo.com
67,CIF-000067,Bui Thu Dung,"797 Hai Ba Trung, Q10, TP.HCM",700000000067,0713446499,bui.thu.dung74@yahoo.com
68,CIF-000068,Phan Anh Khanh,"78 Nam Ky Khoi Nghia, Q7, TP.HCM",700000000068,0850477742,phan.anh.khanh77@outlook.com
69,CIF-000069,Tran Thu Binh,"356 Dien Bien Phu, Binh Thanh, Da Nang",700000000069,0377908907,tran.thu.binh44@outlook.com
70,CIF-000070,Nguyen Anh Long,"109 Tran Hung Dao, Q11, Can Tho",700000000070,0830534124,nguyen.anh.long23@yahoo.com
71,CIF-000071,Dang Duc My,"828 Dien Bien Phu, Go Vap, Can Tho",700000000071,0689520597,dang.duc.my42@yahoo.com
72,CIF-000072,Pham Thi Phong,"903 Pham Ngu Lao, Q7, Can Tho",700000000072,0791917334,pham.thi.phong49@outlook.com
73,CIF-000073,Huynh Van Long,"872 Ly Thuong Kiet, Q5, Can Tho",700000000073,0457623800,huynh.van.long44@yahoo.com
74,CIF-000074,Hoang Thu Phong,"570 Nguyen Trai, Tan Binh, Ha Noi",700000000074,0342394260,hoang.thu.phong53@outlook.com
75,CIF-000075,Vo Hai Linh,"708 Pham Ngu Lao, Go Vap, Can Tho",700000000075,0912314351,vo.hai.linh38@gmail.com
76,CIF-000076,Pham Anh Linh,"314 Nam Ky Khoi Nghia, Q11, Can Tho",700000000076,0781259135,pham.anh.linh55@yahoo.com
77,CIF-000077,Dang Quang Hoa,"720 Pham Ngu Lao, Q10, Da Nang",700000000077,0540942292,dang.quang.hoa93@gmail.com
78,CIF-000078,Pham Quang Dung,"761 Dien Bien Phu, Q5, Ha Noi",700000000078,0474988034,pham.quang.dung93@yahoo.com
79,CIF-000079,Bui Hai My,"290 Le Loi, Q7, Da Nang",700000000079,0458436637,bui.hai.my39@gmail.com
80,CIF-000080,Nguyen Hai Giang,"281 Nguyen Trai, Q1, Hai Phong",700000000080,0526948946,nguyen.hai.giang97@outlook.com
81,CIF-000081,Vo Thi Anh,"588 Vo Van Tan, Go Vap, Can Tho",700000000081,0655728776,vo.thi.anh7@gmail.com
82,CIF-000082,Hoang Minh Dung,"842 Le Loi, Binh Thanh, Can Tho",700000000082,0387446468,hoang.minh.dung88@outlook.com
83,CIF-000083,Nguyen Ngoc Giang,"831 Nam Ky Khoi Nghia, Q10, TP.HCM",700000000083,0425898299,nguyen.ngoc.giang98@outlook.com
84,CIF-000084,Phan Thu My,"810 Nam Ky Khoi Nghia, Q7, Hai Phong",700000000084,0670467027,phan.thu.my39@yahoo.com
85,CIF-000085,Bui Anh Tuan,"583 Nam Ky Khoi Nghia, Q1, Hai Phong",700000000085,0823318904,bui.anh.tuan81@gmail.com
86,CIF-000086,Pham Duc Chau,"161 Cach Mang Thang 8, Q5, Hai Phong",700000000086,0331009452,pham.duc.chau53@gmail.com
87,CIF-000087,Vo Thu Long,"299 Nguyen Trai, Q7, Da Nang",700000000087,0847945817,vo.thu.long59@outlook.com
88,CIF-000088,Tran Thanh Phong,"807 Nam Ky Khoi Nghia, Q7, Can Tho",700000000088,0383089925,tran.thanh.phong83@gmail.com
89,CIF-000089,Le Duc Giang,"74 Nguyen Trai, Q5, Da Nang",700000000089,0786397676,le.duc.giang57@yahoo.com
90,CIF-000090,Tran Minh Tuan,"717 Tran Hung Dao, Q10, Hai Phong",700000000090,0776276072,tran.minh.tuan11@yahoo.com
