card_account_id,cc_user_id,account_no,card_no_masked,card_type,product_type,issuing_branch_code_raw,credit_limit,current_balance,available_credit
1,1,CA-2020-0000001,5*** **** **** 7425,JCB,GOLD,BR-CT01,112080028,37310259,74769769
2,2,CA-2023-0000002,4*** **** **** 6454,JCB,PLATINUM,BR-DN01,296829872,236827914,60001958
3,3,CA-2024-0000003,4*** **** **** 8126,VISA,INFINITE,CAN_THO_1,382392459,32950300,349442159
4,3,CA-2020-0000004,4*** **** **** 9490,JCB,PLATINUM,Can Tho CN1,198812219,67443599,131368620
5,4,CA-2024-0000005,4*** **** **** 1688,VISA,PLATINUM,BR-HP01,223894745,179088267,44806478
6,4,CA-2022-0000006,5*** **** **** 5409,JCB,INFINITE,Hai Phong CN1,722456274,420780211,301676063
7,5,CA-2022-0000007,4*** **** **** 3047,MASTERCARD,CLASSIC,BR-HCM01,49406648,26297553,23109095
8,6,CA-2023-0000008,4*** **** **** 9860,JCB,PLATINUM,DN-01,266499217,9916092,256583125
9,7,CA-2020-0000009,5*** **** **** 8768,VISA,GOLD,DA_NANG_1,127053129,92332330,34720799
10,8,CA-2020-0000010,4*** **** **** 2064,VISA,CLASSIC,Ha Noi CN1,23548584,19149172,4399412
11,9,CA-2023-0000011,5*** **** **** 5570,JCB,INFINITE,BR-CT01,439042055,370380174,68661881
12,10,CA-2024-0000012,5*** **** **** 6610,VISA,GOLD,DA_NANG_1,140235113,51072820,89162293
13,10,CA-2024-0000013,4*** **** **** 2913,MASTERCARD,INFINITE,BR-DN01,486292566,22689125,463603441
14,11,CA-2021-0000014,5*** **** **** 6287,MASTERCARD,GOLD,Hai Phong CN1,96358799,16285228,80073571
15,12,CA-2024-0000015,4*** **** **** 8369,JCB,CLASSIC,CT-01,23220816,568564,22652252
16,13,CA-2021-0000016,4*** **** **** 0100,VISA,INFINITE,HA_NOI_CN1,710286352,250013491,460272861
17,14,CA-2021-0000017,4*** **** **** 6162,VISA,INFINITE,Ho Chi Minh Q3,528222437,50155410,478067027
18,15,CA-2021-0000018,4*** **** **** 3271,JCB,GOLD,BR-HP01,122601966,63517827,59084139
19,16,CA-2022-0000019,5*** **** **** 2330,JCB,PLATINUM,HCM_Q3,169744960,73596060,96148900
20,17,CA-2024-0000020,5*** **** **** 7279,VISA,INFINITE,HN-01,643798170,87102498,556695672
21,18,CA-2023-0000021,4*** **** **** 7104,JCB,INFINITE,HCM_Q3,753855608,372640455,381215153
22,18,CA-2020-0000022,4*** **** **** 1445,JCB,GOLD,HCM_Q3,131385508,88162434,43223074
23,19,CA-2023-0000023,5*** **** **** 6867,JCB,CLASSIC,BR-DN01,28597782,4372158,24225624
24,19,CA-2023-0000024,4*** **** **** 2283,MASTERCARD,INFINITE,DN-01,537743519,335879361,201864158
25,20,CA-2023-0000025,5*** **** **** 5349,MASTERCARD,CLASSIC,HA_NOI_CN1,46287290,16148974,30138316
26,21,CA-2023-0000026,5*** **** **** 3930,MASTERCARD,GOLD,BR-CT01,100257225,27193043,73064182
27,22,CA-2021-0000027,4*** **** **** 9644,MASTERCARD,GOLD,Ha Noi CN1,70939127,13633024,57306103
28,22,CA-2022-0000028,5*** **** **** 1736,MASTERCARD,INFINITE,HA_NOI_CN1,790554811,377675454,412879357
29,23,CA-2024-0000029,4*** **** **** 6441,MASTERCARD,PLATINUM,CN-HCM-02,175682605,24363140,151319465
30,24,CA-2020-0000030,5*** **** **** 0146,JCB,INFINITE,CAN_THO_1,601650614,254924580,346726034
31,25,CA-2024-0000031,5*** **** **** 6984,VISA,GOLD,HCM_Q3,110132946,69286417,40846529
32,25,CA-2022-0000032,4*** **** **** 0703,VISA,PLATINUM,Ho Chi Minh Q3,151896924,11251443,140645481
33,26,CA-2020-0000033,5*** **** **** 6790,JCB,PLATINUM,BR-HP01,205039309,60001784,145037525
34,27,CA-2021-0000034,5*** **** **** 0697,VISA,CLASSIC,BR-HCM01,26748708,14781593,11967115
35,28,CA-2024-0000035,5*** **** **** 3678,VISA,PLATINUM,HP-01,157090338,10211211,146879127
36,28,CA-2022-0000036,5*** **** **** 8048,MASTERCARD,GOLD,HAI_PHONG_1,72581491,40838449,31743042
37,29,CA-2023-0000037,4*** **** **** 0275,MASTERCARD,GOLD,CN-HCM-02,109384048,43005333,66378715
